Time,Watts
2013-01-18 07:22:45 , 265
2013-01-18 07:22:46 , 198
2013-01-18 07:34:30 , 198
2013-01-18 07:34:31 , 220
2013-01-18 07:47:19 , 220
2013-01-18 07:47:20 , 197
2013-01-18 07:48:20 , 197
2013-01-18 07:48:21 , 172
2013-01-18 07:49:20 , 172
2013-01-18 07:49:21 , 223
2013-01-18 07:50:52 , 223
2013-01-18 07:50:53 , 305
2013-01-18 07:51:02 , 305
2013-01-18 07:51:03 , 365
2013-01-18 07:53:16 , 365
2013-01-18 07:53:17 , 1137
2013-01-18 07:55:16 , 1137
2013-01-18 07:55:17 , 1280
2013-01-18 07:55:50 , 1280
2013-01-18 07:55:51 , 468
2013-01-18 07:58:29 , 468
2013-01-18 07:58:30 , 286
2013-01-18 07:58:39 , 286
2013-01-18 07:58:40 , 542
2013-01-18 07:58:49 , 542
2013-01-18 07:58:50 , 800
2013-01-18 08:00:52 , 800
2013-01-18 08:00:53 , 617
2013-01-18 08:01:02 , 617
2013-01-18 08:01:03 , 795
2013-01-18 08:02:57 , 795
2013-01-18 08:02:58 , 711
2013-01-18 08:03:34 , 711
2013-01-18 08:03:35 , 789
2013-01-18 08:04:37 , 789
2013-01-18 08:04:38 , 916
2013-01-18 08:05:48 , 916
2013-01-18 08:05:49 , 1125
2013-01-18 08:09:01 , 1125
2013-01-18 08:09:02 , 3732
2013-01-18 08:11:25 , 3732
2013-01-18 08:11:26 , 1083
2013-01-18 08:11:53 , 1083
2013-01-18 08:11:54 , 956
2013-01-18 08:12:13 , 956
2013-01-18 08:12:14 , 1058
2013-01-18 08:16:31 , 1058
2013-01-18 08:16:32 , 943
2013-01-18 08:17:15 , 943
2013-01-18 08:17:16 , 1041
2013-01-18 08:20:01 , 1041
2013-01-18 08:20:02 , 936
2013-01-18 08:29:33 , 936
2013-01-18 08:29:34 , 824
2013-01-18 08:29:43 , 824
2013-01-18 08:29:44 , 939
2013-01-18 08:31:08 , 939
2013-01-18 08:31:09 , 821
2013-01-18 08:31:44 , 821
2013-01-18 08:31:45 , 940
2013-01-18 08:33:21 , 940
2013-01-18 08:33:22 , 619
2013-01-18 08:33:31 , 619
2013-01-18 08:33:32 , 454
2013-01-18 08:34:17 , 454
2013-01-18 08:34:18 , 193
2013-01-18 08:36:05 , 193
2013-01-18 08:36:06 , 214
2013-01-18 08:42:00 , 214
2013-01-18 08:42:01 , 275
2013-01-18 08:42:18 , 275
2013-01-18 08:42:19 , 199
2013-01-18 08:50:06 , 199
2013-01-18 08:50:07 , 175
2013-01-18 08:53:14 , 175
2013-01-18 08:53:15 , 195
2013-01-18 08:53:39 , 195
2013-01-18 08:53:40 , 174
2013-01-18 09:03:39 , 174
2013-01-18 09:03:40 , 192
2013-01-18 09:04:06 , 192
2013-01-18 09:04:07 , 171
2013-01-18 09:13:22 , 171
2013-01-18 09:13:23 , 198
2013-01-18 09:17:12 , 198
2013-01-18 09:17:13 , 174
2013-01-18 09:19:24 , 174
2013-01-18 09:19:25 , 192
2013-01-18 09:19:34 , 192
2013-01-18 09:19:35 , 221
2013-01-18 09:19:53 , 221
2013-01-18 09:19:54 , 2287
2013-01-18 09:55:38 , 2287
2013-01-18 09:55:39 , 285
2013-01-18 09:56:05 , 285
2013-01-18 09:56:06 , 250
2013-01-18 09:57:36 , 250
2013-01-18 09:57:37 , 302
2013-01-18 09:57:46 , 302
2013-01-18 09:57:47 , 339
2013-01-18 09:58:13 , 339
2013-01-18 09:58:14 , 302
2013-01-18 10:06:04 , 302
2013-01-18 10:06:05 , 255
2013-01-18 10:08:49 , 255
2013-01-18 10:08:50 , 291
2013-01-18 10:14:44 , 291
2013-01-18 10:14:45 , 380
2013-01-18 10:16:33 , 380
2013-01-18 10:16:34 , 311
2013-01-18 10:17:08 , 311
2013-01-18 10:17:09 , 266
2013-01-18 10:19:04 , 266
2013-01-18 10:19:05 , 214
2013-01-18 10:19:47 , 214
2013-01-18 10:19:48 , 240
2013-01-18 10:20:54 , 240
2013-01-18 10:20:55 , 187
2013-01-18 10:23:39 , 187
2013-01-18 10:23:40 , 213
2013-01-18 10:23:58 , 213
2013-01-18 10:23:59 , 190
2013-01-18 10:44:46 , 190
2013-01-18 10:44:47 , 254
2013-01-18 10:46:51 , 254
2013-01-18 10:46:52 , 224
2013-01-18 10:48:55 , 224
2013-01-18 10:48:56 , 199
2013-01-18 11:01:02 , 199
2013-01-18 11:01:03 , 179
2013-01-18 11:01:20 , 179
2013-01-18 11:01:21 , 197
2013-01-18 11:14:27 , 197
2013-01-18 11:14:28 , 253
2013-01-18 11:14:45 , 253
2013-01-18 11:14:46 , 226
2013-01-18 11:18:36 , 226
2013-01-18 11:18:37 , 198
2013-01-18 11:43:30 , 198
2013-01-18 11:43:31 , 257
2013-01-18 11:44:29 , 257
2013-01-18 11:44:30 , 231
2013-01-18 11:47:39 , 231
2013-01-18 11:47:40 , 192
2013-01-18 12:12:01 , 192
2013-01-18 12:12:02 , 1327
2013-01-18 12:12:11 , 1327
2013-01-18 12:12:12 , 243
2013-01-18 12:13:35 , 243
2013-01-18 12:13:36 , 277
2013-01-18 12:13:45 , 277
2013-01-18 12:13:46 , 2391
2013-01-18 12:16:22 , 2391
2013-01-18 12:16:23 , 258
2013-01-18 12:16:49 , 258
2013-01-18 12:16:50 , 2229
2013-01-18 13:56:12 , 2229
2013-01-18 13:56:13 , 236
2013-01-18 13:56:22 , 236
2013-01-18 13:56:23 , 212
2013-01-18 13:57:47 , 212
2013-01-18 13:57:48 , 245
2013-01-18 13:58:06 , 245
2013-01-18 13:58:07 , 214
2013-01-18 14:04:39 , 214
2013-01-18 14:04:40 , 2287
2013-01-18 14:07:43 , 2287
2013-01-18 14:07:44 , 215
2013-01-18 14:08:50 , 215
2013-01-18 14:08:51 , 255
2013-01-18 14:11:05 , 255
2013-01-18 14:11:06 , 216
2013-01-18 14:13:01 , 216
2013-01-18 14:13:02 , 194
2013-01-18 14:35:19 , 194
2013-01-18 14:35:20 , 172
2013-01-18 14:36:18 , 172
2013-01-18 14:36:19 , 198
2013-01-18 14:36:28 , 198
2013-01-18 14:36:29 , 178
2013-01-18 14:36:54 , 178
2013-01-18 14:36:55 , 198
2013-01-18 14:42:18 , 198
2013-01-18 14:42:19 , 177
2013-01-18 14:52:07 , 177
2013-01-18 14:52:08 , 199
2013-01-18 14:54:11 , 199
2013-01-18 14:54:12 , 223
2013-01-18 14:55:34 , 223
2013-01-18 14:55:35 , 199
2013-01-18 14:56:01 , 199
2013-01-18 14:56:02 , 489
2013-01-18 14:56:11 , 489
2013-01-18 14:56:12 , 206
2013-01-18 14:56:21 , 206
2013-01-18 14:56:22 , 706
2013-01-18 14:56:31 , 706
2013-01-18 14:56:32 , 196
2013-01-18 14:56:41 , 196
2013-01-18 14:56:42 , 653
2013-01-18 14:57:01 , 653
2013-01-18 14:57:02 , 202
2013-01-18 14:57:11 , 202
2013-01-18 14:57:12 , 831
2013-01-18 14:57:21 , 831
2013-01-18 14:57:22 , 578
2013-01-18 14:57:31 , 578
2013-01-18 14:57:32 , 209
2013-01-18 14:57:58 , 209
2013-01-18 14:57:59 , 691
2013-01-18 14:58:25 , 691
2013-01-18 14:58:26 , 199
2013-01-18 14:58:35 , 199
2013-01-18 14:58:36 , 754
2013-01-18 14:58:45 , 754
2013-01-18 14:58:46 , 207
2013-01-18 14:59:20 , 207
2013-01-18 14:59:21 , 682
2013-01-18 14:59:38 , 682
2013-01-18 14:59:39 , 820
2013-01-18 14:59:48 , 820
2013-01-18 14:59:49 , 198
2013-01-18 14:59:59 , 198
2013-01-18 15:00:00 , 763
2013-01-18 15:00:09 , 763
2013-01-18 15:00:10 , 205
2013-01-18 15:00:19 , 205
2013-01-18 15:00:20 , 907
2013-01-18 15:00:29 , 907
2013-01-18 15:00:30 , 203
2013-01-18 15:00:39 , 203
2013-01-18 15:00:40 , 715
2013-01-18 15:00:49 , 715
2013-01-18 15:00:50 , 195
2013-01-18 15:01:08 , 195
2013-01-18 15:01:09 , 1157
2013-01-18 15:01:18 , 1157
2013-01-18 15:01:19 , 709
2013-01-18 15:01:28 , 709
2013-01-18 15:01:29 , 196
2013-01-18 15:01:38 , 196
2013-01-18 15:01:39 , 774
2013-01-18 15:01:57 , 774
2013-01-18 15:01:58 , 198
2013-01-18 15:02:08 , 198
2013-01-18 15:02:09 , 661
2013-01-18 15:02:44 , 661
2013-01-18 15:02:45 , 198
2013-01-18 15:03:11 , 198
2013-01-18 15:03:12 , 685
2013-01-18 15:03:21 , 685
2013-01-18 15:03:22 , 933
2013-01-18 15:03:31 , 933
2013-01-18 15:03:32 , 729
2013-01-18 15:03:58 , 729
2013-01-18 15:03:59 , 198
2013-01-18 15:04:09 , 198
2013-01-18 15:04:10 , 667
2013-01-18 15:04:19 , 667
2013-01-18 15:04:20 , 2058
2013-01-18 15:04:29 , 2058
2013-01-18 15:04:30 , 2483
2013-01-18 15:04:39 , 2483
2013-01-18 15:04:40 , 2080
2013-01-18 15:04:49 , 2080
2013-01-18 15:04:50 , 2392
2013-01-18 15:04:59 , 2392
2013-01-18 15:05:00 , 2068
2013-01-18 15:05:19 , 2068
2013-01-18 15:05:20 , 2698
2013-01-18 15:05:29 , 2698
2013-01-18 15:05:30 , 2351
2013-01-18 15:05:39 , 2351
2013-01-18 15:05:40 , 2049
2013-01-18 15:05:58 , 2049
2013-01-18 15:05:59 , 2383
2013-01-18 15:06:08 , 2383
2013-01-18 15:06:09 , 2028
2013-01-18 15:06:19 , 2028
2013-01-18 15:06:20 , 2473
2013-01-18 15:07:04 , 2473
2013-01-18 15:07:05 , 2062
2013-01-18 15:07:14 , 2062
2013-01-18 15:07:15 , 2378
2013-01-18 15:08:08 , 2378
2013-01-18 15:08:09 , 2123
2013-01-18 15:08:28 , 2123
2013-01-18 15:08:29 , 2555
2013-01-18 15:08:38 , 2555
2013-01-18 15:08:39 , 2134
2013-01-18 15:08:48 , 2134
2013-01-18 15:08:49 , 2819
2013-01-18 15:09:07 , 2819
2013-01-18 15:09:08 , 2117
2013-01-18 15:09:25 , 2117
2013-01-18 15:09:26 , 2474
2013-01-18 15:09:36 , 2474
2013-01-18 15:09:37 , 2147
2013-01-18 15:09:46 , 2147
2013-01-18 15:09:47 , 2413
2013-01-18 15:09:56 , 2413
2013-01-18 15:09:57 , 2124
2013-01-18 15:10:06 , 2124
2013-01-18 15:10:07 , 2425
2013-01-18 15:10:16 , 2425
2013-01-18 15:10:17 , 2156
2013-01-18 15:10:26 , 2156
2013-01-18 15:10:27 , 2500
2013-01-18 15:10:54 , 2500
2013-01-18 15:10:55 , 2113
2013-01-18 15:11:04 , 2113
2013-01-18 15:11:05 , 2390
2013-01-18 15:11:14 , 2390
2013-01-18 15:11:15 , 2123
2013-01-18 15:11:24 , 2123
2013-01-18 15:11:25 , 2429
2013-01-18 15:11:34 , 2429
2013-01-18 15:11:35 , 2156
2013-01-18 15:12:11 , 2156
2013-01-18 15:12:12 , 2828
2013-01-18 15:12:30 , 2828
2013-01-18 15:12:31 , 2070
2013-01-18 15:12:40 , 2070
2013-01-18 15:12:41 , 2348
2013-01-18 15:13:43 , 2348
2013-01-18 15:13:44 , 2033
2013-01-18 15:13:54 , 2033
2013-01-18 15:13:55 , 2433
2013-01-18 15:14:04 , 2433
2013-01-18 15:14:05 , 2062
2013-01-18 15:14:22 , 2062
2013-01-18 15:14:23 , 2503
2013-01-18 15:14:49 , 2503
2013-01-18 15:14:50 , 687
2013-01-18 15:15:00 , 687
2013-01-18 15:15:01 , 209
2013-01-18 15:15:10 , 209
2013-01-18 15:15:11 , 747
2013-01-18 15:15:20 , 747
2013-01-18 15:15:21 , 617
2013-01-18 15:15:30 , 617
2013-01-18 15:15:31 , 199
2013-01-18 15:15:40 , 199
2013-01-18 15:15:41 , 2371
2013-01-18 15:15:50 , 2371
2013-01-18 15:15:51 , 2067
2013-01-18 15:16:01 , 2067
2013-01-18 15:16:02 , 2463
2013-01-18 15:16:20 , 2463
2013-01-18 15:16:21 , 2079
2013-01-18 15:16:30 , 2079
2013-01-18 15:16:31 , 2458
2013-01-18 15:17:34 , 2458
2013-01-18 15:17:35 , 791
2013-01-18 15:17:44 , 791
2013-01-18 15:17:45 , 697
2013-01-18 15:17:54 , 697
2013-01-18 15:17:55 , 813
2013-01-18 15:18:22 , 813
2013-01-18 15:18:23 , 720
2013-01-18 15:18:41 , 720
2013-01-18 15:18:42 , 207
2013-01-18 15:19:07 , 207
2013-01-18 15:19:08 , 686
2013-01-18 15:19:18 , 686
2013-01-18 15:19:19 , 208
2013-01-18 15:19:28 , 208
2013-01-18 15:19:29 , 745
2013-01-18 15:19:47 , 745
2013-01-18 15:19:48 , 1094
2013-01-18 15:19:57 , 1094
2013-01-18 15:19:58 , 763
2013-01-18 15:20:07 , 763
2013-01-18 15:20:08 , 849
2013-01-18 15:20:26 , 849
2013-01-18 15:20:27 , 2446
2013-01-18 15:21:03 , 2446
2013-01-18 15:21:04 , 2025
2013-01-18 15:21:13 , 2025
2013-01-18 15:21:14 , 759
2013-01-18 15:21:24 , 759
2013-01-18 15:21:25 , 219
2013-01-18 15:21:34 , 219
2013-01-18 15:21:35 , 573
