Time,Watts
2013-01-20 09:01:01 , 167
2013-01-20 09:01:11 , 178
2013-01-20 09:01:19 , 175
2013-01-20 09:01:27 , 175
2013-01-20 09:01:35 , 176
2013-01-20 09:01:43 , 169
2013-01-20 09:01:51 , 169
2013-01-20 09:02:00 , 176
2013-01-20 09:02:08 , 178
2013-01-20 09:02:16 , 182
2013-01-20 09:02:24 , 163
2013-01-20 09:02:32 , 182
2013-01-20 09:02:40 , 174
2013-01-20 09:02:48 , 174
2013-01-20 09:02:57 , 179
2013-01-20 09:03:05 , 178
2013-01-20 09:03:13 , 178
2013-01-20 09:03:21 , 178
2013-01-20 09:03:29 , 179
2013-01-20 09:03:37 , 181
2013-01-20 09:03:45 , 175
2013-01-20 09:03:54 , 172
2013-01-20 09:04:02 , 172
2013-01-20 09:04:18 , 179
2013-01-20 09:04:26 , 175
2013-01-20 09:04:34 , 170
2013-01-20 09:04:42 , 170
2013-01-20 09:04:51 , 181
2013-01-20 09:04:59 , 181
2013-01-20 09:05:07 , 172
2013-01-20 09:05:15 , 179
2013-01-20 09:05:23 , 181
2013-01-20 09:05:31 , 172
2013-01-20 09:05:39 , 175
2013-01-20 09:05:48 , 172
2013-01-20 09:05:56 , 176
2013-01-20 09:06:04 , 176
2013-01-20 09:06:12 , 163
2013-01-20 09:06:20 , 174
2013-01-20 09:06:28 , 171
2013-01-20 09:06:36 , 179
2013-01-20 09:06:45 , 181
2013-01-20 09:06:53 , 181
2013-01-20 09:07:01 , 178
2013-01-20 09:07:09 , 178
2013-01-20 09:07:17 , 168
2013-01-20 09:07:25 , 168
2013-01-20 09:07:34 , 183
2013-01-20 09:07:43 , 185
2013-01-20 09:07:51 , 180
2013-01-20 09:07:59 , 182
2013-01-20 09:08:07 , 178
2013-01-20 09:08:15 , 179
2013-01-20 09:08:23 , 175
2013-01-20 09:08:32 , 176
2013-01-20 09:08:40 , 181
2013-01-20 09:08:48 , 181
2013-01-20 09:08:56 , 178
2013-01-20 09:09:04 , 183
2013-01-20 09:09:12 , 179
2013-01-20 09:09:28 , 178
2013-01-20 09:09:37 , 167
2013-01-20 09:09:46 , 172
2013-01-20 09:09:54 , 172
2013-01-20 09:10:02 , 174
2013-01-20 09:10:10 , 174
2013-01-20 09:10:18 , 182
2013-01-20 09:10:26 , 176
2013-01-20 09:10:35 , 178
2013-01-20 09:10:43 , 175
2013-01-20 09:10:51 , 175
2013-01-20 09:10:59 , 178
2013-01-20 09:11:07 , 176
2013-01-20 09:11:15 , 183
2013-01-20 09:11:25 , 176
2013-01-20 09:11:33 , 176
2013-01-20 09:11:41 , 186
2013-01-20 09:11:49 , 170
2013-01-20 09:11:57 , 172
2013-01-20 09:12:05 , 183
2013-01-20 09:12:13 , 180
2013-01-20 09:12:22 , 180
2013-01-20 09:12:30 , 175
2013-01-20 09:12:38 , 210
2013-01-20 09:12:48 , 197
2013-01-20 09:12:56 , 197
2013-01-20 09:13:04 , 191
2013-01-20 09:13:13 , 198
2013-01-20 09:13:22 , 204
2013-01-20 09:13:30 , 202
2013-01-20 09:13:38 , 208
2013-01-20 09:13:47 , 201
2013-01-20 09:13:55 , 205
2013-01-20 09:14:03 , 207
2013-01-20 09:14:11 , 199
2013-01-20 09:14:20 , 199
2013-01-20 09:14:28 , 196
2013-01-20 09:14:36 , 199
2013-01-20 09:14:44 , 195
2013-01-20 09:14:52 , 203
2013-01-20 09:15:00 , 197
2013-01-20 09:15:09 , 206
